1	40	100	50	60	250	2	1[0]	1[0]	1	0:02:10	7
2	65	165	85	100	415	1	1[0]	1[0]	1	0:05:10	13
3	110	280	140	165	695	1	1[0]	1[0]	2	0:09:50	21
4	185	465	235	280	1165	1	1[0]	1[0]	2	0:17:30	31
5	310	780	390	465	1945	1	1[0]	1[0]	2	0:29:40	46
6	520	1300	650	780	3250	2	1[2]	1[0]	3	0:49:00	70
7	870	2170	1085	1300	5425	2	1[3]	1[2]	4	1:20:10	98
8	1450	3625	1810	2175	9060	2	1[5]	1[3]	4	2:10:00	140
9	2420	6050	3025	3630	15125	2	1[7]	1[5]	5	3:29:40	203
10	4040	10105	5050	6060	25255	2	1[10]	1[7]	6	5:37:00	280
11	6750	16870	8435	10125	42180	2	1[12]	1[10]	7	9:00:50	392
12	11270	28175	14090	16905	70440	2	1[15]	1[12]	9	14:27:00	525
13	18820	47055	23525	28230	117630	2	1[18]	1[15]	11	23:09:00	693
14	31430	78580	39290	47150	196450	2	1[20]	1[18]	13	37:04:00	889
15	52490	131230	65615	78740	328075	2	2[18]	1[20]	15	59:20:00	1120
16	87660	219155	109575	131490	547880	3	3[19]	2[18]	18	94:57:50	1400
17	146395	365985	182995	219590	914965	3	5[18]	3[19]	22	151:58:10	1820
18	244480	611195	305600	366715	1527990	3	8[18]	5[18]	27	243:10:40	2240
19	408280	1020695	510350	612420	2551745	3	13[19]	8[18]	32	389:06:40	2800
20	681825	1704565	852280	1022740	4261410	3	22[14]	13[19]	38	622:36:20	3430
