1	180	250	500	160	1090	4	1[0]	1[0]	2	0:16:40	1
2	230	320	640	205	1395	2	1[0]	1[0]	3	0:21:50	2
3	295	410	820	260	1785	2	1[1]	1[0]	3	0:27:50	3
4	375	525	1050	335	2285	2	1[1]	1[0]	4	0:34:50	4
5	485	670	1340	430	2925	2	1[2]	1[0]	5	0:42:50	5
6	620	860	1720	550	3750	3	1[3]	1[0]	6	0:52:10	6
7	790	1100	2200	705	4795	3	1[3]	1[0]	7	1:03:00	7
8	1015	1405	2815	900	6135	3	1[4]	1[1]	9	1:15:40	8
9	1295	1800	3605	1155	7855	3	1[5]	1[1]	10	1:30:10	9
10	1660	2305	4610	1475	10050	3	1[6]	1[2]	12	1:47:10	10
11	2125	2950	5905	1890	12870	3	1[7]	1[3]	15	2:06:50	11
12	2720	3780	7555	2420	16475	3	1[8]	1[4]	18	2:29:40	12
13	3480	4835	9670	3095	21080	3	1[10]	1[4]	21	2:56:00	13
14	4455	6190	12380	3960	26985	3	1[11]	1[5]	26	3:26:40	14
15	5705	7925	15845	5070	34545	3	1[12]	1[7]	31	4:02:20	15
16	7300	10140	20280	6490	44210	4	1[13]	1[8]	37	4:43:30	16
17	9345	12980	25960	8310	56595	4	1[15]	1[9]	44	5:31:30	17
18	11965	16615	33230	10635	72445	4	1[16]	1[10]	53	6:27:00	18
19	15315	21270	42535	13610	92730	4	1[17]	1[11]	64	7:31:20	19
20	19600	27225	54445	17420	118690	4	1[18]	1[12]	77	8:46:10	20
