1	80	70	120	70	340	4	1[0]	1[0]	4	0:15:00	1
2	100	90	155	90	435	2	1[0]	1[0]	4	0:19:50	2
3	130	115	195	115	555	2	1[0]	1[0]	5	0:25:40	3
4	170	145	250	145	710	2	1[0]	1[0]	6	0:32:10	4
5	215	190	320	190	915	2	1[0]	1[0]	7	0:39:50	5
6	275	240	410	240	1165	3	1[0]	1[0]	9	0:48:40	6
7	350	310	530	310	1500	3	1[0]	1[0]	11	0:59:00	7
8	450	395	675	395	1915	3	1[0]	1[0]	13	1:11:00	8
9	575	505	865	505	2450	3	1[1]	1[0]	15	1:24:50	9
10	740	645	1105	645	3135	3	1[1]	1[0]	19	1:40:50	10
11	945	825	1415	825	4010	3	1[2]	1[1]	22	1:59:30	11
12	1210	1060	1815	1060	5145	3	1[3]	1[1]	27	2:21:10	12
13	1545	1355	2320	1355	6575	3	1[4]	1[2]	32	2:46:10	13
14	1980	1735	2970	1735	8420	3	1[4]	1[3]	39	3:15:20	14
15	2535	2220	3805	2220	10780	3	1[5]	1[3]	46	3:49:00	15
16	3245	2840	4870	2840	13795	4	1[6]	1[4]	55	4:28:10	16
17	4155	3635	6230	3635	17655	4	1[7]	1[5]	67	5:13:30	17
18	5315	4650	7975	4650	22590	4	1[9]	1[6]	80	6:06:10	18
19	6805	5955	10210	5955	28925	4	1[10]	1[7]	96	7:07:20	19
20	8710	7620	13065	7620	37015	4	1[11]	1[8]	115	8:18:10	20
