1	120	200	0	80	400	0	1[0]	1[0]	1	0:33:20	+6, +2.0%
2	155	255	0	100	510	0	1[0]	1[0]	1	0:43:40	+12, +4.0%
3	195	330	0	130	655	0	1[0]	1[0]	2	0:55:40	+18, +6.1%
4	250	420	0	170	840	0	1[0]	1[0]	2	1:09:30	+24, +8.2%
5	320	535	0	215	1070	0	1[0]	1[0]	2	1:25:40	+30, +10.4%
6	410	685	0	275	1370	1	1[0]	1[0]	3	1:44:20	+36, +12.6%
7	530	880	0	350	1760	1	1[1]	1[0]	4	2:06:10	+42, +14.9%
8	675	1125	0	450	2250	1	1[1]	1[0]	4	2:31:20	+48, +17.2%
9	865	1440	0	575	2880	1	1[2]	1[0]	5	3:00:30	+54, +19.5%
10	1105	1845	0	740	3690	1	1[3]	1[0]	6	3:34:20	+60, +21.9%
11	1415	2360	0	945	4720	1	1[4]	1[1]	7	4:13:40	+66, +24.3%
12	1815	3020	0	1210	6045	1	1[4]	1[2]	9	4:59:10	+72, +26.8%
13	2320	3870	0	1545	7735	1	1[5]	1[2]	11	5:52:10	+78, +29.4%
14	2970	4950	0	1980	9900	1	1[6]	1[3]	13	6:53:30	+84, +31.9%
15	3805	6340	0	2535	12680	1	1[8]	1[4]	15	8:04:40	+90, +34.6%
16	4870	8115	0	3245	16230	2	1[9]	1[5]	18	9:27:10	+96, +37.3%
17	6230	10385	0	4155	20770	2	1[10]	1[6]	22	11:02:50	+102, +40.0%
18	7975	13290	0	5315	26580	2	1[11]	1[7]	27	12:54:00	+108, +42.8%
19	10210	17015	0	6805	34030	2	1[12]	1[8]	32	15:02:50	+114, +45.7%
20	13065	21780	0	8710	43555	2	1[14]	1[9]	38	17:32:10	+120, +48.6%
