1	1400	1330	1200	400	4330	3	1[2]	1[0]	4	0:50:00	110%
2	1790	1700	1535	510	5535	2	1[3]	1[0]	4	1:03:00	120%
3	2295	2180	1965	655	7095	2	1[3]	1[0]	5	1:18:00	130%
4	2935	2790	2515	840	9080	2	1[4]	1[1]	6	1:35:30	140%
5	3760	3570	3220	1075	11625	2	1[5]	1[1]	7	1:55:50	150%
6	4810	4570	4125	1375	14880	2	1[6]	1[2]	9	2:19:20	160%
7	6155	5850	5280	1760	19045	2	1[7]	1[3]	11	2:46:40	170%
8	7880	7485	6755	2250	24370	2	1[9]	1[3]	13	3:18:20	180%
9	10090	9585	8645	2880	31200	2	1[10]	1[4]	15	3:55:10	190%
10	12915	12265	11070	3690	39940	2	1[11]	1[5]	19	4:37:40	200%
11	16530	15700	14165	4720	51115	3	1[12]	1[6]	22	5:27:10	210%
12	21155	20100	18135	6045	65435	3	1[13]	1[7]	27	6:24:30	220%
13	27080	25725	23210	7735	83750	3	1[15]	1[8]	32	7:31:00	230%
14	34660	32930	29710	9905	107205	3	1[16]	1[10]	39	8:48:10	240%
15	44370	42150	38030	12675	137225	3	1[17]	1[11]	46	10:17:40	250%
16	56790	53950	48680	16225	175645	3	1[19]	1[12]	55	12:01:30	260%
17	72690	69060	62310	20770	224830	3	1[20]	1[13]	67	14:02:00	270%
18	93045	88395	79755	26585	287780	3	2[11]	1[15]	80	16:21:40	280%
19	119100	113145	102085	34030	368360	3	2[17]	1[16]	96	19:03:50	290%
20	152445	144825	130670	43555	471495	3	2[0]	1[17]	115	22:11:50	300%
