1	1250	1110	1260	600	4220	4	1[2]	1[0]	6	1:44:10	
2	1600	1420	1615	770	5405	2	1[2]	1[0]	7	2:03:20	
3	2050	1820	2065	985	6920	2	1[3]	1[1]	9	2:25:30	
4	2620	2330	2640	1260	8850	2	1[4]	1[2]	10	2:51:20	
5	3355	2980	3380	1610	11325	2	1[5]	1[2]	12	3:21:20	
6	4295	3815	4330	2060	14500	3	1[6]	1[3]	15	3:56:00	
7	5500	4880	5540	2640	18560	3	1[7]	1[4]	18	4:36:10	
8	7035	6250	7095	3380	23760	3	1[8]	1[5]	21	5:23:00	
9	9005	8000	9080	4325	30410	3	1[9]	1[6]	26	6:17:10	
10	11530	10240	11620	5535	38925	3	1[10]	1[7]	31	7:20:00	
11	14755	13105	14875	7085	49820	3	1[12]	1[8]	37	8:32:50	
12	18890	16775	19040	9065	63770	3	1[13]	1[9]	45	9:57:20	
13	24180	21470	24370	11605	81625	3	1[14]	1[10]	53	11:35:30	
14	30950	27480	31195	14855	104480	3	1[15]	1[12]	64	13:29:10	
15	39615	35175	39930	19015	133735	3	1[17]	1[13]	77	15:41:10	
16	50705	45025	51110	24340	171180	4	1[18]	1[14]	92	18:14:20	
17	64905	57635	65425	31155	219120	4	1[19]	1[15]	111	21:11:50	
18	83075	73770	83740	39875	280460	4	2[5]	1[17]	133	24:37:50	
19	106340	94430	107190	51040	359000	4	2[15]	1[18]	160	28:36:50	
20	136115	120870	137200	65335	459520	4	2[19]	1[19]	192	33:14:00
