1	2880	2740	2580	990	9190	4	1[4]	1[1]	7	2:13:20	
2	3630	3450	3250	1245	11575	2	1[5]	1[2]	9	2:39:40	
3	4570	4350	4095	1570	14585	2	1[6]	1[2]	10	3:10:10	
4	5760	5480	5160	1980	18380	2	1[7]	1[3]	12	3:45:40	
5	7260	6905	6505	2495	23165	2	1[8]	1[4]	15	4:26:50	
6	9145	8700	8195	3145	29185	3	1[9]	1[5]	18	5:14:30	
7	11525	10965	10325	3960	36775	3	1[10]	1[5]	21	6:09:40	
8	14520	13815	13010	4990	46335	3	1[12]	1[6]	26	7:13:50	
9	18295	17405	16390	6290	58380	3	1[13]	1[7]	31	8:28:20	
10	23055	21930	20650	7925	73560	3	1[14]	1[9]	37	9:54:40	
11	29045	27635	26020	9985	92685	3	1[15]	1[10]	45	11:34:50	
12	36600	34820	32785	12580	116785	3	1[16]	1[11]	53	13:31:00	
13	46115	43875	41310	15850	147150	3	1[18]	1[12]	64	15:45:40	
14	58105	55280	52050	19975	185410	3	1[19]	1[13]	77	18:22:00	
15	73210	69655	65585	25165	233615	3	1[20]	1[14]	92	21:23:20	
16	92245	87760	82640	31710	294355	4	2[11]	1[16]	111	24:53:40	
17	116230	110580	104125	39955	370890	4	2[16]	1[17]	133	28:57:40	
18	146450	139330	131195	50340	467315	4	2[0]	1[18]	160	33:40:40	
19	184530	175560	165305	63430	588825	4	3[14]	1[19]	192	39:09:00	
20	232505	221205	208285	79925	741920	4	3[0]	1[20]	230	45:29:50
