1	460	510	600	320	1890	3	1[0]	1[0]	4	0:25:00	1.0x
2	590	655	770	410	2425	2	1[0]	1[0]	4	0:31:30	1.1x
3	755	835	985	525	3100	2	1[1]	1[0]	5	0:39:00	1.2x
4	965	1070	1260	670	3965	2	1[2]	1[0]	6	0:47:50	1.4x
5	1235	1370	1610	860	5075	2	1[2]	1[1]	7	0:58:00	1.5x
6	1580	1750	2060	1100	6490	2	1[3]	1[1]	9	1:09:40	1.7x
7	2025	2245	2640	1405	8315	2	1[4]	1[2]	11	1:23:20	1.9x
8	2590	2870	3380	1800	10640	2	1[5]	1[3]	13	1:39:10	2.1x
9	3315	3675	4325	2305	13620	2	1[6]	1[4]	15	1:57:30	2.3x
10	4245	4705	5535	2950	17435	2	1[7]	1[4]	19	2:18:50	2.6x
11	5430	6020	7085	3780	22315	3	1[8]	1[5]	22	2:43:40	2.9x
12	6950	7705	9065	4835	28555	3	1[9]	1[6]	27	3:12:20	3.2x
13	8900	9865	11605	6190	36560	3	1[10]	1[7]	32	3:45:30	3.5x
14	11390	12625	14855	7925	46795	3	1[12]	1[9]	39	4:24:10	3.9x
15	14580	16165	19015	10140	59900	3	1[13]	1[10]	46	5:08:50	4.4x
16	18660	20690	24340	12980	76670	3	1[14]	1[11]	55	6:00:50	4.9x
17	23885	26480	31155	16615	98135	3	1[15]	1[12]	67	7:01:00	5.4x
18	30570	33895	39875	21270	125610	3	1[17]	1[13]	80	8:10:50	6.0x
19	39130	43385	51040	27225	160780	3	1[18]	1[15]	96	9:31:50	6.7x
20	50090	55535	65335	34845	205805	3	1[19]	1[16]	115	11:06:00	7.4x
