1	550	800	750	250	2350	1	1[0]	1[0]	6	1:23:20	2
2	705	1025	960	320	3010	1	1[1]	1[0]	7	1:41:40	8
3	900	1310	1230	410	3850	1	1[2]	1[0]	9	2:03:00	18
4	1155	1680	1575	525	4935	1	1[2]	1[0]	10	2:27:40	32
5	1475	2145	2015	670	6305	1	1[3]	1[0]	12	2:56:10	50
6	1890	2750	2575	860	8075	1	1[4]	1[1]	15	3:29:20	72
7	2420	3520	3300	1100	10340	1	1[5]	1[1]	18	4:08:00	98
8	3095	4505	4220	1405	13225	1	1[6]	1[2]	21	4:52:40	128
9	3965	5765	5405	1800	16935	1	1[7]	1[3]	26	5:44:20	162
10	5075	7380	6920	2305	21680	1	1[8]	1[4]	31	6:44:30	200
11	6495	9445	8855	2950	27745	2	1[9]	1[4]	37	7:54:10	242
12	8310	12090	11335	3780	35515	2	1[11]	1[5]	45	9:15:10	288
13	10640	15475	14505	4835	45455	2	1[12]	1[6]	53	10:49:00	338
14	13615	19805	18570	6190	58180	2	1[13]	1[7]	64	12:37:40	392
15	17430	25355	23770	7925	74480	2	1[14]	1[9]	77	14:44:00	450
16	22310	32450	30425	10140	95325	2	1[16]	1[10]	92	17:10:30	512
17	28560	41540	38940	12980	122020	2	1[17]	1[11]	111	20:00:20	578
18	36555	53170	49845	16615	156185	2	1[18]	1[12]	133	23:17:20	648
19	46790	68055	63805	21270	199920	2	1[20]	1[13]	160	27:05:50	722
20	59890	87110	81670	27225	255895	2	2[8]	1[15]	192	31:31:00	800
