1	210	140	260	120	730	4	1[0]	1[0]	1	0:16:40	1.0x
2	270	180	335	155	940	2	1[0]	1[0]	1	0:21:50	1.1x
3	345	230	425	195	1195	2	1[0]	1[0]	2	0:27:50	1.2x
4	440	295	545	250	1530	2	1[0]	1[0]	2	0:34:50	1.4x
5	565	375	700	320	1960	2	1[0]	1[0]	2	0:42:50	1.5x
6	720	480	895	410	2505	3	1[1]	1[0]	3	0:52:10	1.7x
7	925	615	1145	530	3215	3	1[1]	1[0]	4	1:03:00	1.9x
8	1180	790	1465	675	4110	3	1[2]	1[0]	4	1:15:40	2.1x
9	1515	1010	1875	865	5265	3	1[3]	1[1]	5	1:30:10	2.3x
10	1935	1290	2400	1105	6730	3	1[4]	1[1]	6	1:47:10	2.6x
11	2480	1655	3070	1415	8620	3	1[4]	1[2]	7	2:06:50	2.9x
12	3175	2115	3930	1815	11035	3	1[5]	1[3]	9	2:29:40	3.2x
13	4060	2710	5030	2320	14120	3	1[7]	1[4]	11	2:56:00	3.5x
14	5200	3465	6435	2970	18070	3	1[8]	1[4]	13	3:26:40	3.9x
15	6655	4435	8240	3805	23135	3	1[9]	1[5]	15	4:02:20	4.4x
16	8520	5680	10545	4870	29615	4	1[10]	1[6]	18	4:43:30	4.9x
17	10905	7270	13500	6230	37905	4	1[11]	1[7]	22	5:31:30	5.4x
18	13955	9305	17280	7975	48515	4	1[12]	1[9]	27	6:27:00	6.0x
19	17865	11910	22120	10210	62105	4	1[14]	1[10]	32	7:31:20	6.7x
20	22865	15245	28310	13065	79485	4	1[15]	1[11]	38	8:46:10	7.4x
