1	100	80	30	60	270	3	1[0]	1[0]	1	0:03:50	7
2	165	135	50	100	450	2	1[0]	1[0]	1	0:07:40	13
3	280	225	85	165	755	2	1[0]	1[0]	2	0:14:00	21
4	465	375	140	280	1260	2	1[0]	1[0]	2	0:24:00	31
5	780	620	235	465	2100	2	1[0]	1[0]	2	0:40:00	46
6	1300	1040	390	780	3510	2	1[2]	1[0]	3	1:05:40	70
7	2170	1735	650	1300	5855	2	1[3]	1[2]	4	1:46:40	98
8	3625	2900	1085	2175	9785	2	1[5]	1[3]	4	2:52:30	140
9	6050	4840	1815	3630	16335	2	1[7]	1[5]	5	4:37:40	203
10	10105	8080	3030	6060	27275	2	1[10]	1[7]	6	7:25:50	280
11	16870	13500	5060	10125	45555	3	1[12]	1[10]	7	11:55:00	392
12	28175	22540	8455	16905	76075	3	1[15]	1[12]	9	19:05:40	525
13	47055	37645	14115	28230	127045	3	1[18]	1[15]	11	30:34:40	693
14	78580	62865	23575	47150	212170	3	1[20]	1[18]	13	48:57:00	889
15	131230	104985	39370	78740	354325	3	2[18]	1[20]	15	78:21:00	1120
16	219155	175320	65745	131490	591710	3	3[19]	2[18]	18	125:23:10	1400
17	365985	292790	109795	219590	988160	3	5[18]	3[19]	22	200:38:50	1820
18	611195	488955	183360	366715	1650225	3	8[18]	5[18]	27	321:03:50	2240
19	1020695	816555	306210	612420	2755880	3	13[19]	8[18]	32	513:43:50	2800
20	1704565	1363650	511370	1022740	4602325	3	22[14]	13[19]	38	821:59:40	3430
