1	260	140	220	100	720	5	1[0]	1[0]	2	0:18:20	1.0x
2	335	180	280	130	925	3	1[0]	1[0]	3	0:23:50	1.1x
3	425	230	360	165	1180	3	1[0]	1[0]	3	0:30:00	1.2x
4	545	295	460	210	1510	3	1[0]	1[0]	4	0:37:20	1.4x
5	700	375	590	270	1935	3	1[0]	1[0]	5	0:45:50	1.5x
6	895	480	755	345	2475	3	1[1]	1[0]	6	0:55:40	1.7x
7	1145	615	970	440	3170	3	1[1]	1[0]	7	1:07:10	1.9x
8	1465	790	1240	565	4060	3	1[2]	1[0]	9	1:20:20	2.1x
9	1875	1010	1585	720	5190	3	1[3]	1[0]	10	1:35:40	2.3x
10	2400	1290	2030	920	6640	3	1[4]	1[1]	12	1:53:30	2.6x
11	3070	1655	2595	1180	8500	4	1[4]	1[1]	15	2:14:10	2.9x
12	3930	2115	3325	1510	10880	4	1[5]	1[2]	18	2:38:10	3.2x
13	5030	2710	4255	1935	13930	4	1[7]	1[3]	21	3:06:00	3.5x
14	6435	3465	5445	2475	17820	4	1[8]	1[4]	26	3:38:10	3.9x
15	8240	4435	6970	3170	22815	4	1[9]	1[5]	31	4:15:40	4.4x
16	10545	5680	8925	4055	29205	4	1[10]	1[6]	37	4:59:00	4.9x
17	13500	7270	11425	5190	37385	4	1[11]	1[7]	44	5:49:20	5.4x
18	17280	9305	14620	6645	47850	4	1[12]	1[8]	53	6:47:50	6.0x
19	22120	11910	18715	8505	61250	4	1[14]	1[9]	64	7:55:30	6.7x
20	28310	15245	23955	10890	78400	4	1[15]	1[10]	77	9:14:00	7.4x
